a1,a2,a3,a4,load,failure
5.38749,-7.38029,0.968567,-0.738323,0.0,1.0
3.1189,0.815791,1.49779,-0.541057,0.0,0.0
-1.24147,0.038673,2.32269,-1.60495,0.0,0.0
-1.53533,3.61035,0.680086,-5.71114,0.0,0.0
-1.57348,-3.52584,1.04381,2.59676,0.0,1.0
0.953467,0.754568,-3.14295,1.65251,0.0,1.0
-2.48716,-1.80813,1.31757,0.462659,0.0,1.0
-12.5237,-0.424898,4.04978,-2.61154,0.0,0.0
-4.88323,-3.29066,3.78724,-0.455529,0.0,1.0
-1.18643,-3.27961,-1.71592,3.89373,0.0,0.0
2.47097,-3.34866,2.41086,0.29562,0.0,0.0
5.2797,-0.33401,0.611829,-4.05205,0.0,0.0
0.463048,-1.12685,4.20769,-0.513387,0.0,1.0
3.38093,-1.13213,2.5838,-1.54332,0.0,1.0
-1.49197,1.18055,1.03576,-1.33377,0.0,1.0
4.14728,4.33648,5.41567,2.18659,0.0,0.0
-0.513314,8.95228,-0.221932,-1.76921,0.0,1.0
0.241848,0.127519,-4.41747,-2.69783,0.0,1.0
0.765191,1.12061,0.526169,-3.57024,0.0,0.0
4.21732,3.11088,-2.04171,5.85481,0.0,0.0
-5.82264,-0.615534,5.63749,3.04841,0.0,0.0
-6.34854,3.20977,-2.86046,0.319669,0.0,0.0
3.08697,1.3059,-0.0364913,-0.224112,0.0,1.0
-0.162968,-1.46475,-0.148273,1.0982,0.0,1.0
-4.3171,-4.61224,4.01464,-0.486407,0.0,0.0
-1.44773,-1.82671,0.257956,1.0223,0.0,1.0
0.634314,-5.254,-1.12505,6.95436,0.0,1.0
2.17358,-1.1351,0.32213,-0.216685,0.0,1.0
1.39844,-6.9148,1.86057,-0.983672,0.0,1.0
1.4917,-3.72137,-0.904126,-0.558642,0.0,0.0
14.3331,4.05693,-1.30585,3.54783,0.0,0.0
-0.251055,1.10609,-1.19664,0.231988,0.0,1.0
3.74971,-1.47258,-0.671347,-0.605651,0.0,1.0
3.73588,-3.52364,-1.56516,1.66108,0.0,1.0
1.50047,0.986145,3.11762,6.80329,0.0,1.0
-1.49602,2.08066,1.55989,2.23308,0.0,1.0
-2.68925,1.98097,1.95999,1.22337,0.0,1.0
2.69173,-1.29274,-0.438665,-0.897897,0.0,0.0
-0.793332,-1.28257,-2.30009,-0.571288,0.0,1.0
-3.00349,7.1871,0.12186,-6.62578,0.0,1.0
-0.100131,0.14627,-2.17431,-2.37403,0.0,1.0
-0.585421,-1.21564,1.30451,0.150392,0.0,1.0
-9.24533,2.09899,-2.68627,-2.43901,0.0,0.0
-11.6191,2.19328,4.02184,1.9823,0.0,0.0
-11.0993,-0.947885,-4.19161,-0.245601,0.0,1.0
-0.28538,-2.14135,0.702641,-3.2826,0.0,1.0
1.57118,5.02555,1.44684,-2.26424,0.0,1.0
-1.56471,-4.95623,1.61775,-0.907722,0.0,0.0
2.15323,0.578751,0.0296663,1.52621,0.0,1.0
0.387899,1.18591,-0.959289,1.91773,0.0,0.0
-8.2811,-5.71195,0.105893,0.889453,0.0,1.0
0.547905,-2.48628,0.0834914,0.596302,0.0,1.0
-2.43782,-0.620382,0.159502,3.20239,0.0,1.0
-2.75856,1.72759,0.0359205,1.94215,0.0,1.0
7.037,-3.10163,0.391887,-5.34878,0.0,0.0
1.30952,-0.0895733,0.346155,-1.14963,0.0,1.0
2.76828,-4.38748,-4.09118,1.82635,0.0,0.0
1.35515,-5.05186,1.06799,-4.28984,0.0,1.0
-0.0749164,0.603296,1.5537,-1.32219,0.0,1.0
0.364212,5.50172,1.75654,5.8612,0.0,1.0
3.26672,3.90366,-8.82121,0.794855,0.0,0.0
6.184,-1.74982,1.70638,-3.08991,0.0,1.0
-0.947355,2.43696,3.66603,-6.23706,0.0,1.0
-2.63974,0.0114277,-5.77395,-1.83135,0.0,1.0
2.26718,-0.705747,0.721186,-2.0796,0.0,0.0
-8.38665,3.76707,-3.52556,-2.93414,0.0,1.0
10.3183,-1.05766,-0.155663,3.78486,0.0,0.0
7.80923,4.98362,-3.20722,4.35735,0.0,0.0
-0.314021,-0.156933,1.01289,1.89236,0.0,1.0
0.277277,-3.85558,2.46652,7.48608,0.0,1.0
-0.187038,1.53189,0.604532,1.40021,0.0,0.0
3.92091,2.45942,0.789773,0.0774532,0.0,0.0
-0.633398,0.344062,-1.23566,-1.57522,0.0,0.0
-2.37804,-1.87686,5.53483,-1.20142,0.0,1.0
-1.68327,1.27562,-0.921014,-0.333346,0.0,1.0
-4.26555,0.625203,-6.53532,-1.21852,0.0,1.0
-5.10553,2.22364,-1.23475,-0.549694,0.0,1.0
2.87078,1.86775,-1.33397,-1.51267,0.0,0.0
3.19074,-0.651992,0.798238,-0.647194,0.0,0.0
2.74256,-9.20467,2.19227,-7.29623,0.0,0.0
1.92978,4.74372,-4.83939,0.801363,0.0,1.0
4.32167,2.15886,5.65299,-1.20686,0.0,0.0
-2.08935,-7.33814,3.94908,2.7363,0.0,1.0
-0.847885,2.17822,-2.0377,0.495541,0.0,1.0
0.414603,-1.25879,-0.59766,1.27885,0.0,1.0
-2.57343,-0.0235375,-7.67437,1.18171,0.0,1.0
-18.539,-11.6213,-6.70458,-4.15859,0.0,0.0
-2.71133,-4.55154,-0.565108,2.02115,0.0,0.0
-1.04983,0.414835,-1.85288,2.17831,0.0,0.0
-2.88551,0.544988,4.52609,0.804282,0.0,1.0
1.12553,-1.20334,-3.561,-0.605641,0.0,0.0
0.0394279,0.742111,-1.73526,0.0232065,0.0,1.0
-2.40415,2.84938,1.55041,2.71662,0.0,1.0
0.276419,2.38864,-6.22636,-0.627038,0.0,0.0
0.85135,7.67057,-3.56959,0.468723,0.0,1.0
-4.36005,-1.16945,-0.749973,2.89597,0.0,1.0
1.75325,-1.28545,0.195531,-5.09273,0.0,1.0
1.80641,-1.71858,-0.16209,-2.17836,0.0,1.0
1.47283,-1.38804,2.25419,4.6956,0.0,1.0
24.2727,10.2147,-3.54691,6.78844,0.0,0.0
0.1775,-1.61802,-2.38607,-0.567098,0.0,1.0
0.736235,-1.88509,0.364153,-1.10511,0.0,0.0
-0.0830462,-1.26252,2.14961,-0.527745,0.0,0.0
-1.38861,2.32188,-1.49966,-3.05407,0.0,1.0
3.88495,1.18373,1.59228,0.330379,0.0,0.0
-1.21009,2.36939,0.545358,-1.77326,0.0,0.0
-8.1459,-5.55732,-1.00737,3.43468,0.0,1.0
8.37483,-7.4085,5.5329,-3.85415,0.0,1.0
-5.02997,-2.98902,1.97757,-2.13351,0.0,1.0
-7.83489,6.5619,4.7252,3.22065,0.0,0.0
4.07225,-4.05891,6.18173,-2.71235,0.0,1.0
5.11259,14.0831,0.986229,0.989396,0.0,0.0
-4.4391,2.8218,-5.82988,-2.02105,0.0,0.0
-1.24769,0.182068,-10.6567,1.97362,0.0,1.0
5.03255,-6.1399,2.87172,2.32938,0.0,1.0
-3.6227,1.16387,-2.86637,1.0318,0.0,1.0
-7.17753,-2.25305,-0.375846,-0.735219,0.0,0.0
-1.16307,0.587423,0.741346,-1.05498,0.0,1.0
11.907,0.18757,-2.13245,-0.549719,0.0,0.0
1.95765,2.99277,-0.10549,2.02717,0.0,0.0
-0.367092,-1.26221,-0.0768154,-1.52841,0.0,0.0
-4.38584,1.62234,-2.61633,-2.10743,0.0,0.0
8.55772,4.66458,0.529873,5.40167,0.0,0.0
-4.94375,1.58743,4.47104,-1.82871,0.0,0.0
-1.77711,1.29669,0.358348,2.2105,0.0,0.0
3.26357,0.770641,-1.06311,0.67407,0.0,0.0
-5.74009,5.78508,0.647272,9.07761,0.0,0.0
10.8952,-0.227665,7.76471,3.37706,0.0,0.0
1.12592,0.243569,-1.34922,-2.46278,0.0,1.0
-2.25828,-1.29684,-1.27897,-0.248719,0.0,1.0
-6.41684,-2.03897,2.73181,-0.99207,0.0,0.0
2.49178,-1.67759,0.864869,0.753586,0.0,1.0
1.42032,-1.62466,-3.43213,-4.97673,0.0,0.0
